Cycle,PID,Star,J-magnitude,Planet,Stellar Radius (Solar Radii),Stellar Mass (Solar Mass),Stellar Teff (K),Distance (pc),Planet Mass (Earth masses),Planet Radius (Earth radii),Planet Teq (K),Planet Period (days),Planet semi-major axis (AU),Observation,Instrument/Mode,Filter,Science Mode,Sub-science theme,Seconds on target,Target multiplier*
1,1843,HD 206893,5.869,HD 206893 b,1.31,1.32,6500,40.7583,8899,14,1429.2,9350,9.6,1,NIRISS AMI,F380M,Direct Imaging,Photometric,2802.05,1
1,1843,HD 206893,5.869,HD 206893 b,1.31,1.32,6500,40.7583,8899,14,1429.2,9350,9.6,1,NIRISS AMI,F430M,Direct Imaging,Photometric,1522.68,1
1,1843,HD 206893,5.869,HD 206893 b,1.31,1.32,6500,40.7583,8899,14,1429.2,9350,9.6,1,NIRISS AMI,F480M,Direct Imaging,Photometric,666.55,1
1,2044,TYC 8988-760-1,9.072,TYC 8988-760-1 b,1.079,1,4573,94.6177,4450,33.629,1727,,162,1,NIRSpec/G395H,F290LP,Direct Imaging,Spectroscopic,3559.69,1
1,2044,TYC 8988-760-1,9.072,TYC 8988-760-1 b,1.079,1,4573,94.6177,4450,33.629,1727,,162,1,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1050.40,1
1,2044,TYC 8988-760-1,9.072,TYC 8988-760-1 c,1.079,1,4573,94.6177,1906.97044,12.3298788,1240,,320,1,NIRSpec/G395H,F290LP,Direct Imaging,Spectroscopic,3559.69,0
1,2044,TYC 8988-760-1,9.072,TYC 8988-760-1 c,1.079,1,4573,94.6177,1906.97044,12.3298788,1240,,320,1,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1050.40,0
1,2044,TYC 8988-760-1,9.072,TYC 8988-760-1 b,1.079,1,4573,94.6177,4450,33.629,1727,,162,5,MIRI/LRS,,Direct Imaging,Spectroscopic,499.51,1
1,2044,TYC 8988-760-1,9.072,TYC 8988-760-1 c,1.079,1,4573,94.6177,1906.97044,12.3298788,1240,,320,6,MIRI/LRS,,Direct Imaging,Spectroscopic,5006.17,1
1,2243,Eps Indi A,2.894,Eps Indi A b,0.679,0.76,4760,3.63857,2005,,275,,28.4,7,MIRI/Coronagraphic,F1550C,Direct Imaging,Photometric,3922.36,1
